ErrorID,ErrorCode,StationID,PointID,Severity,Description,OccurredAt,ResolvedAt,ResolvedBy,IsActive
116,"ERR-00116",82,117,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-11-29T22:27:39.3645313","2025-11-30T22:27:39.3645313",12,0
117,"ERR-00117",82,118,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-12-10T22:27:39.3645313",,,1
118,"ERR-00118",79,119,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-12-21T22:27:39.3645313","2025-12-23T00:27:39.3645313",14,0
119,"ERR-00119",79,120,"Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","2026-01-01T22:27:39.3645313","2026-01-03T01:27:39.3645313",15,0
120,"ERR-00120",79,121,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2026-01-12T22:27:39.3645313","2026-01-14T02:27:39.3645313",16,0
121,"ERR-00121",77,122,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-01-23T22:27:39.3645313","2026-01-25T03:27:39.3645313",17,0
122,"ERR-00122",77,123,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-02-03T22:27:39.3645313","2026-02-05T04:27:39.3645313",18,0
123,"ERR-00123",77,124,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2026-02-14T22:27:39.3645313","2026-02-16T05:27:39.3645313",19,0
124,"ERR-00124",71,125,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-02-25T22:27:39.3645313","2026-02-27T06:27:39.3645313",20,0
125,"ERR-00125",71,126,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-03-08T22:27:39.3645313","2026-03-10T07:27:39.3645313",21,0
126,"ERR-00126",71,127,"High","Mat ket noi voi bo dieu khien cong sac","2026-03-19T22:27:39.3645313",,,1
127,"ERR-00127",72,128,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-03-30T22:27:39.3645313","2026-04-01T09:27:39.3645313",23,0
128,"ERR-00128",72,129,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-04-10T22:27:39.3645313","2026-04-12T10:27:39.3645313",24,0
129,"ERR-00129",72,130,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2026-04-21T22:27:39.3645313","2026-04-23T11:27:39.3645313",25,0
130,"ERR-00130",66,131,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-05-02T22:27:39.3645313","2026-05-04T12:27:39.3645313",26,0
131,"ERR-00131",66,132,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-05-13T22:27:39.3645313","2026-05-15T13:27:39.3645313",27,0
132,"ERR-00132",66,133,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2026-05-24T22:27:39.3645313","2026-05-26T14:27:39.3645313",28,0
133,"ERR-00133",63,134,"High","Mat ket noi voi bo dieu khien cong sac","2024-06-04T22:27:39.3645313","2024-06-06T15:27:39.3645313",29,0
134,"ERR-00134",63,135,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-06-15T22:27:39.3645313","2024-06-17T16:27:39.3645313",30,0
135,"ERR-00135",63,136,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-06-26T22:27:39.3645313",,,1
136,"ERR-00136",64,137,"Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","2024-07-07T22:27:39.3645313","2024-07-09T18:27:39.3645313",32,0
137,"ERR-00137",64,138,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-07-18T22:27:39.3645313","2024-07-20T19:27:39.3645313",33,0
138,"ERR-00138",64,139,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-07-29T22:27:39.3645313","2024-07-31T20:27:39.3645313",34,0
139,"ERR-00139",61,140,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-08-09T22:27:39.3645313","2024-08-11T21:27:39.3645313",35,0
140,"ERR-00140",61,141,"High","Mat ket noi voi bo dieu khien cong sac","2024-08-20T22:27:39.3645313","2024-08-22T22:27:39.3645313",36,0
141,"ERR-00141",61,142,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-08-31T22:27:39.3645313","2024-09-02T23:27:39.3645313",9,0
142,"ERR-00142",58,143,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-09-11T22:27:39.3645313","2024-09-14T00:27:39.3645313",10,0
143,"ERR-00143",58,144,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-09-22T22:27:39.3645313","2024-09-25T01:27:39.3645313",11,0
144,"ERR-00144",58,145,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-10-03T22:27:39.3645313",,,1
145,"ERR-00145",56,146,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-10-14T22:27:39.3645313","2024-10-15T03:27:39.3645313",13,0
146,"ERR-00146",56,147,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-10-25T22:27:39.3645313","2024-10-26T04:27:39.3645313",14,0
147,"ERR-00147",56,148,"High","Mat ket noi voi bo dieu khien cong sac","2024-11-05T22:27:39.3645313","2024-11-06T05:27:39.3645313",15,0
148,"ERR-00148",49,149,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-11-16T22:27:39.3645313","2024-11-17T06:27:39.3645313",16,0
149,"ERR-00149",49,150,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-11-27T22:27:39.3645313","2024-11-28T07:27:39.3645313",17,0
150,"ERR-00150",49,151,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-12-08T22:27:39.3645313","2024-12-09T08:27:39.3645313",18,0
151,"ERR-00151",54,152,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-12-19T22:27:39.3645313","2024-12-20T09:27:39.3645313",19,0
152,"ERR-00152",54,153,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-12-30T22:27:39.3645313","2024-12-31T10:27:39.3645313",20,0
153,"ERR-00153",54,154,"Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","2025-01-10T22:27:39.3645313",,,1
154,"ERR-00154",51,155,"High","Mat ket noi voi bo dieu khien cong sac","2025-01-21T22:27:39.3645313","2025-01-22T12:27:39.3645313",22,0
155,"ERR-00155",51,156,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-02-01T22:27:39.3645313","2025-02-02T13:27:39.3645313",23,0
156,"ERR-00156",51,157,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-02-12T22:27:39.3645313","2025-02-13T14:27:39.3645313",24,0
157,"ERR-00157",47,158,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-02-23T22:27:39.3645313","2025-02-24T15:27:39.3645313",25,0
158,"ERR-00158",47,159,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-03-06T22:27:39.3645313","2025-03-07T16:27:39.3645313",26,0
159,"ERR-00159",47,160,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-03-17T22:27:39.3645313","2025-03-18T17:27:39.3645313",27,0
160,"ERR-00160",45,161,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-03-28T22:27:39.3645313","2025-03-29T18:27:39.3645313",28,0
161,"ERR-00161",45,162,"High","Mat ket noi voi bo dieu khien cong sac","2025-04-08T22:27:39.3645313","2025-04-09T19:27:39.3645313",29,0
162,"ERR-00162",45,163,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-04-19T22:27:39.3645313",,,1
163,"ERR-00163",43,164,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-04-30T22:27:39.3645313","2025-05-01T21:27:39.3645313",31,0
164,"ERR-00164",43,165,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-05-11T22:27:39.3645313","2025-05-12T22:27:39.3645313",32,0
165,"ERR-00165",43,166,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-05-22T22:27:39.3645313","2025-05-23T23:27:39.3645313",33,0
166,"ERR-00166",40,167,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-06-02T22:27:39.3645313","2025-06-04T00:27:39.3645313",34,0
167,"ERR-00167",40,168,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-06-13T22:27:39.3645313","2025-06-15T01:27:39.3645313",35,0
168,"ERR-00168",40,169,"High","Mat ket noi voi bo dieu khien cong sac","2025-06-24T22:27:39.3645313","2025-06-26T02:27:39.3645313",36,0
169,"ERR-00169",41,170,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-07-05T22:27:39.3645313","2025-07-07T03:27:39.3645313",9,0
170,"ERR-00170",41,171,"Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","2025-07-16T22:27:39.3645313","2025-07-18T04:27:39.3645313",10,0
171,"ERR-00171",41,172,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-07-27T22:27:39.3645313",,,1
172,"ERR-00172",36,173,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-08-07T22:27:39.3645313","2025-08-09T06:27:39.3645313",12,0
173,"ERR-00173",36,174,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-08-18T22:27:39.3645313","2025-08-20T07:27:39.3645313",13,0
174,"ERR-00174",36,175,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-08-29T22:27:39.3645313","2025-08-31T08:27:39.3645313",14,0
175,"ERR-00175",33,176,"High","Mat ket noi voi bo dieu khien cong sac","2025-09-09T22:27:39.3645313","2025-09-11T09:27:39.3645313",15,0
176,"ERR-00176",33,177,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-09-20T22:27:39.3645313","2025-09-22T10:27:39.3645313",16,0
177,"ERR-00177",33,178,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-10-01T22:27:39.3645313","2025-10-03T11:27:39.3645313",17,0
178,"ERR-00178",31,179,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-10-12T22:27:39.3645313","2025-10-14T12:27:39.3645313",18,0
