StationID,StationCode,StationName,FranchiseID,AddressID,SupplierID,StationOperatorID,ModelName,Manufacturer,MaxPowerKW,StationStatus,OpenedAt,CreatedAt,UpdatedAt
16,"ST-049","Trạm sạc Nguyen Trung Truc Kien Giang",5,75,21,29,"VinFast DC 150","VinFast",120.00,"Active","2024-03-14T00:00:00.0000000","2026-06-01T22:27:39.6971157",
17,"ST-018","Trạm sạc Cong Hoa TP Ho Chi Minh",1,51,1,26,"ABB Terra 184","ABB",300.00,"Active","2024-04-14T00:00:00.0000000","2026-06-01T22:27:39.6971157",
18,"ST-081","Trạm sạc Ton Duc Thang Binh Thuan",7,32,24,33,"ABB Terra 184","ABB",120.00,"Active","2024-02-11T00:00:00.0000000","2026-06-01T22:27:39.6971157",
19,"ST-032","Trạm sạc Nguyen Trai Ha Noi",3,69,2,12,"Siemens Sicharge","Siemens",150.00,"Active","2024-03-31T00:00:00.0000000","2026-06-01T22:27:39.6971157",
20,"ST-050","Trạm sạc Nguyen Trung Truc Kien Giang",6,76,21,30,"Siemens Sicharge","Siemens",150.00,"Active","2024-03-13T00:00:00.0000000","2026-06-01T22:27:39.6971157",
21,"ST-019","Trạm sạc Dien Bien Phu TP Ho Chi Minh",2,52,1,27,"VinFast DC 150","VinFast",180.00,"Active","2024-04-13T00:00:00.0000000","2026-06-01T22:27:39.6971157",
22,"ST-082","Trạm sạc Nguyen Tat Thanh Dak Lak",8,39,26,34,"VinFast DC 150","VinFast",120.00,"Active","2024-02-10T00:00:00.0000000","2026-06-01T22:27:39.6971157",
23,"ST-051","Trạm sạc Nguyen Trung Truc Kien Giang",7,77,21,31,"ABB Terra 184","ABB",120.00,"Active","2024-03-12T00:00:00.0000000","2026-06-01T22:27:39.6971157",
24,"ST-095","Trạm sạc Vo Nguyen Giap Dien Bien",6,38,36,19,"Siemens Sicharge","Siemens",60.00,"Active","2024-01-28T00:00:00.0000000","2026-06-01T22:27:39.6971157",
25,"ST-020","Trạm sạc Nguyen Hue TP Ho Chi Minh",3,53,1,28,"Siemens Sicharge","Siemens",150.00,"Active","2024-04-12T00:00:00.0000000","2026-06-01T22:27:39.6971157",
26,"ST-083","Trạm sạc Hung Vuong Gia Lai",9,49,25,35,"Siemens Sicharge","Siemens",120.00,"Active","2024-02-09T00:00:00.0000000","2026-06-01T22:27:39.6971157",
27,"ST-052","Trạm sạc Tran Phu Khanh Hoa",8,78,9,32,"VinFast DC 150","VinFast",150.00,"Active","2024-03-11T00:00:00.0000000","2026-06-01T22:27:39.6971157",
28,"ST-021","Trạm sạc Nguyen Van Linh TP Ho Chi Minh",1,54,1,29,"ABB Terra 184","ABB",300.00,"Active","2024-04-11T00:00:00.0000000","2026-06-01T22:27:39.6971157",
29,"ST-084","Trạm sạc Hung Vuong Gia Lai",10,50,25,36,"ABB Terra 184","ABB",120.00,"Active","2024-02-08T00:00:00.0000000","2026-06-01T22:27:39.6971157",
30,"ST-053","Trạm sạc Tran Phu Khanh Hoa",9,79,9,33,"Siemens Sicharge","Siemens",120.00,"Inactive","2024-03-10T00:00:00.0000000","2026-06-01T22:27:39.6971157",
31,"ST-022","Trạm sạc Vo Van Kiet TP Ho Chi Minh",2,55,1,30,"VinFast DC 150","VinFast",180.00,"Active","2024-04-10T00:00:00.0000000","2026-06-01T22:27:39.6971157",
32,"ST-085","Trạm sạc Bien Hoa Ha Nam",11,70,28,9,"VinFast DC 150","VinFast",120.00,"Active","2024-02-07T00:00:00.0000000","2026-06-01T22:27:39.6971157",
33,"ST-054","Trạm sạc Tran Phu Khanh Hoa",10,80,9,34,"ABB Terra 184","ABB",150.00,"Active","2024-03-09T00:00:00.0000000","2026-06-01T22:27:39.6971157",
34,"ST-001","Trạm sạc Dai lo Binh Duong Binh Duong",2,19,4,9,"VinFast DC 150","VinFast",180.00,"Active","2024-05-01T00:00:00.0000000","2026-06-01T22:27:39.6971157",
35,"ST-023","Trạm sạc Cong Hoa TP Ho Chi Minh",3,56,1,31,"Siemens Sicharge","Siemens",150.00,"Active","2024-04-09T00:00:00.0000000","2026-06-01T22:27:39.6971157",
36,"ST-086","Trạm sạc Tran Hung Dao Ninh Binh",12,93,29,10,"Siemens Sicharge","Siemens",120.00,"Active","2024-02-06T00:00:00.0000000","2026-06-01T22:27:39.6971157",
37,"ST-055","Trạm sạc Hung Vuong Long An",11,82,17,35,"VinFast DC 150","VinFast",120.00,"Active","2024-03-08T00:00:00.0000000","2026-06-01T22:27:39.6971157",
38,"ST-024","Trạm sạc Dien Bien Phu TP Ho Chi Minh",1,57,1,32,"ABB Terra 184","ABB",300.00,"Active","2024-04-08T00:00:00.0000000","2026-06-01T22:27:39.6971157",
39,"ST-087","Trạm sạc Hung Vuong Phu Tho",13,94,31,11,"ABB Terra 184","ABB",120.00,"UnderMaintenance","2024-02-05T00:00:00.0000000","2026-06-01T22:27:39.6971157",
40,"ST-064","Trạm sạc Ha Long Quang Ninh",5,95,10,16,"VinFast DC 150","VinFast",150.00,"Active","2024-02-28T00:00:00.0000000","2026-06-01T22:27:39.6971157",
41,"ST-056","Trạm sạc Hung Vuong Long An",12,83,17,36,"Siemens Sicharge","Siemens",150.00,"Active","2024-03-07T00:00:00.0000000","2026-06-01T22:27:39.6971157",
42,"ST-025","Trạm sạc Nguyen Hue TP Ho Chi Minh",2,58,1,33,"VinFast DC 150","VinFast",180.00,"Active","2024-04-07T00:00:00.0000000","2026-06-01T22:27:39.6971157",
43,"ST-088","Trạm sạc Phan Chau Trinh Quang Nam",14,98,22,12,"VinFast DC 150","VinFast",120.00,"Active","2024-02-04T00:00:00.0000000","2026-06-01T22:27:39.6971157",
44,"ST-057","Trạm sạc Hung Vuong Long An",13,84,17,9,"ABB Terra 184","ABB",120.00,"Active","2024-03-06T00:00:00.0000000","2026-06-01T22:27:39.6971157",
45,"ST-026","Trạm sạc Ly Thuong Kiet Ha Noi",3,63,2,34,"Siemens Sicharge","Siemens",150.00,"Active","2024-04-06T00:00:00.0000000","2026-06-01T22:27:39.6971157",
46,"ST-089","Trạm sạc Phan Chau Trinh Quang Nam",15,99,22,13,"Siemens Sicharge","Siemens",120.00,"Active","2024-02-03T00:00:00.0000000","2026-06-01T22:27:39.6971157",
47,"ST-058","Trạm sạc Tran Hung Dao Lam Dong",14,87,11,10,"VinFast DC 150","VinFast",150.00,"UnderMaintenance","2024-03-05T00:00:00.0000000","2026-06-01T22:27:39.6971157",
48,"ST-027","Trạm sạc Nguyen Trai Ha Noi",1,64,2,35,"ABB Terra 184","ABB",300.00,"Active","2024-04-05T00:00:00.0000000","2026-06-01T22:27:39.6971157",
49,"ST-090","Trạm sạc Hung Vuong Quang Tri",1,100,23,14,"ABB Terra 184","ABB",120.00,"Active","2024-02-02T00:00:00.0000000","2026-06-01T22:27:39.6971157",
50,"ST-059","Trạm sạc Tran Hung Dao Lam Dong",15,88,11,11,"Siemens Sicharge","Siemens",120.00,"Active","2024-03-04T00:00:00.0000000","2026-06-01T22:27:39.6971157",
51,"ST-028","Trạm sạc Pham Van Dong Ha Noi",2,65,2,36,"VinFast DC 150","VinFast",180.00,"Active","2024-04-04T00:00:00.0000000","2026-06-01T22:27:39.6971157",
52,"ST-091","Trạm sạc Ly Bon Thai Binh",2,102,30,15,"VinFast DC 150","VinFast",120.00,"Active","2024-02-01T00:00:00.0000000","2026-06-01T22:27:39.6971157",
53,"ST-033","Trạm sạc Dien Bien Phu Hai Phong",1,71,5,13,"ABB Terra 184","ABB",300.00,"Active","2024-03-30T00:00:00.0000000","2026-06-01T22:27:39.6971157",
54,"ST-060","Trạm sạc Tran Hung Dao Lam Dong",1,89,11,12,"ABB Terra 184","ABB",150.00,"Active","2024-03-03T00:00:00.0000000","2026-06-01T22:27:39.6971157",
55,"ST-029","Trạm sạc Tran Duy Hung Ha Noi",3,66,2,9,"Siemens Sicharge","Siemens",150.00,"UnderMaintenance","2024-04-03T00:00:00.0000000","2026-06-01T22:27:39.6971157",
56,"ST-092","Trạm sạc 30 Thang 4 Tay Ninh",3,109,27,16,"Siemens Sicharge","Siemens",120.00,"Active","2024-01-31T00:00:00.0000000","2026-06-01T22:27:39.6971157",
57,"ST-061","Trạm sạc Le Duan Nghe An",2,90,12,13,"VinFast DC 150","VinFast",120.00,"Active","2024-03-02T00:00:00.0000000","2026-06-01T22:27:39.6971157",
58,"ST-096","Trạm sạc Nguyen Trai Ha Giang",7,62,34,20,"ABB Terra 184","ABB",60.00,"Active","2024-01-27T00:00:00.0000000","2026-06-01T22:27:39.6971157",
59,"ST-030","Trạm sạc Vo Chi Cong Ha Noi",1,67,2,10,"ABB Terra 184","ABB",300.00,"Active","2024-04-02T00:00:00.0000000","2026-06-01T22:27:39.6971157",
60,"ST-093","Trạm sạc Truong Chinh Bac Kan",4,24,39,17,"ABB Terra 184","ABB",60.00,"Active","2024-01-30T00:00:00.0000000","2026-06-01T22:27:39.6971157",
61,"ST-062","Trạm sạc Le Duan Nghe An",3,91,12,14,"Siemens Sicharge","Siemens",150.00,"Active","2024-03-01T00:00:00.0000000","2026-06-01T22:27:39.6971157",
62,"ST-031","Trạm sạc Ly Thuong Kiet Ha Noi",2,68,2,11,"VinFast DC 150","VinFast",180.00,"Active","2024-04-01T00:00:00.0000000","2026-06-01T22:27:39.6971157",
63,"ST-094","Trạm sạc Kim Dong Cao Bang",5,33,38,18,"VinFast DC 150","VinFast",60.00,"Active","2024-01-29T00:00:00.0000000","2026-06-01T22:27:39.6971157",
64,"ST-002","Trạm sạc Huynh Van Luy Binh Duong",3,20,4,10,"Siemens Sicharge","Siemens",150.00,"Active","2024-04-30T00:00:00.0000000","2026-06-01T22:27:39.6971157",
65,"ST-065","Trạm sạc Ha Long Quang Ninh",6,96,10,17,"Siemens Sicharge","Siemens",120.00,"Active","2024-02-27T00:00:00.0000000","2026-06-01T22:27:39.6971157",
66,"ST-034","Trạm sạc Le Hong Phong Hai Phong",2,72,5,14,"VinFast DC 150","VinFast",180.00,"Active","2024-03-29T00:00:00.0000000","2026-06-01T22:27:39.6971157",
67,"ST-097","Trạm sạc Phan Dinh Phung Kon Tum",8,81,40,21,"VinFast DC 150","VinFast",60.00,"Active","2024-01-26T00:00:00.0000000","2026-06-01T22:27:39.6971157",
68,"ST-003","Trạm sạc Dai lo Binh Duong Binh Duong",1,21,4,11,"ABB Terra 184","ABB",300.00,"Active","2024-04-29T00:00:00.0000000","2026-06-01T22:27:39.6971157",
69,"ST-066","Trạm sạc Ha Long Quang Ninh",7,97,10,18,"ABB Terra 184","ABB",150.00,"Active","2024-02-26T00:00:00.0000000","2026-06-01T22:27:39.6971157",
70,"ST-035","Trạm sạc Dien Bien Phu Hai Phong",3,73,5,15,"Siemens Sicharge","Siemens",150.00,"Active","2024-03-28T00:00:00.0000000","2026-06-01T22:27:39.6971157",
71,"ST-098","Trạm sạc Tran Phu Lai Chau",9,85,37,22,"Siemens Sicharge","Siemens",60.00,"Active","2024-01-25T00:00:00.0000000","2026-06-01T22:27:39.6971157",
72,"ST-004","Trạm sạc Huynh Van Luy Binh Duong",2,22,4,12,"VinFast DC 150","VinFast",180.00,"Active","2024-04-28T00:00:00.0000000","2026-06-01T22:27:39.6971157",
73,"ST-067","Trạm sạc Ap Bac Tien Giang",8,103,18,19,"VinFast DC 150","VinFast",120.00,"Active","2024-02-25T00:00:00.0000000","2026-06-01T22:27:39.6971157",
74,"ST-036","Trạm sạc Le Hong Phong Hai Phong",1,74,5,16,"ABB Terra 184","ABB",300.00,"Active","2024-03-27T00:00:00.0000000","2026-06-01T22:27:39.6971157",
75,"ST-099","Trạm sạc Hoang Lien Lao Cai",10,86,33,23,"ABB Terra 184","ABB",60.00,"Active","2024-01-24T00:00:00.0000000","2026-06-01T22:27:39.6971157",
76,"ST-005","Trạm sạc Hoa Binh Can Tho",3,34,7,13,"Siemens Sicharge","Siemens",150.00,"Active","2024-04-27T00:00:00.0000000","2026-06-01T22:27:39.6971157",
77,"ST-068","Trạm sạc Ap Bac Tien Giang",9,104,18,20,"Siemens Sicharge","Siemens",150.00,"Active","2024-02-24T00:00:00.0000000","2026-06-01T22:27:39.6971157",
78,"ST-037","Trạm sạc Tran Hung Dao An Giang",8,16,20,17,"VinFast DC 150","VinFast",120.00,"Active","2024-03-26T00:00:00.0000000","2026-06-01T22:27:39.6971157",
79,"ST-100","Trạm sạc To Hieu Son La",11,101,35,24,"VinFast DC 150","VinFast",60.00,"Active","2024-01-23T00:00:00.0000000","2026-06-01T22:27:39.6971157",
80,"ST-006","Trạm sạc Nguyen Van Cu Can Tho",1,35,7,14,"ABB Terra 184","ABB",300.00,"Active","2024-04-26T00:00:00.0000000","2026-06-01T22:27:39.6971157",
81,"ST-069","Trạm sạc Ap Bac Tien Giang",10,105,18,21,"ABB Terra 184","ABB",120.00,"Active","2024-02-23T00:00:00.0000000","2026-06-01T22:27:39.6971157",
82,"ST-038","Trạm sạc Tran Hung Dao An Giang",9,17,20,18,"Siemens Sicharge","Siemens",150.00,"Active","2024-03-25T00:00:00.0000000","2026-06-01T22:27:39.6971157",
83,"ST-007","Trạm sạc Hoa Binh Can Tho",2,36,7,15,"VinFast DC 150","VinFast",180.00,"Active","2024-04-25T00:00:00.0000000","2026-06-01T22:27:39.6971157",
84,"ST-070","Trạm sạc Dai lo Le Loi Thanh Hoa",11,106,13,22,"VinFast DC 150","VinFast",150.00,"Active","2024-02-22T00:00:00.0000000","2026-06-01T22:27:39.6971157",
85,"ST-039","Trạm sạc Tran Hung Dao An Giang",10,18,20,19,"ABB Terra 184","ABB",120.00,"Active","2024-03-24T00:00:00.0000000","2026-06-01T22:27:39.6971157",
86,"ST-008","Trạm sạc Nguyen Van Cu Can Tho",3,37,7,16,"Siemens Sicharge","Siemens",150.00,"Active","2024-04-24T00:00:00.0000000","2026-06-01T22:27:39.6971157",
87,"ST-071","Trạm sạc Dai lo Le Loi Thanh Hoa",12,107,13,23,"Siemens Sicharge","Siemens",120.00,"Active","2024-02-21T00:00:00.0000000","2026-06-01T22:27:39.6971157",
88,"ST-040","Trạm sạc Ly Thai To Bac Ninh",11,25,15,20,"VinFast DC 150","VinFast",150.00,"Active","2024-03-23T00:00:00.0000000","2026-06-01T22:27:39.6971157",
89,"ST-009","Trạm sạc Pham Van Thuan Dong Nai",1,40,6,17,"ABB Terra 184","ABB",300.00,"Active","2024-04-23T00:00:00.0000000","2026-06-01T22:27:39.6971157",
90,"ST-072","Trạm sạc Dai lo Le Loi Thanh Hoa",13,108,13,24,"ABB Terra 184","ABB",150.00,"Active","2024-02-20T00:00:00.0000000","2026-06-01T22:27:39.6971157",
91,"ST-041","Trạm sạc Ly Thai To Bac Ninh",12,26,15,21,"Siemens Sicharge","Siemens",120.00,"Active","2024-03-22T00:00:00.0000000","2026-06-01T22:27:39.6971157",
92,"ST-010","Trạm sạc Vo Thi Sau Dong Nai",2,41,6,18,"VinFast DC 150","VinFast",180.00,"Active","2024-04-22T00:00:00.0000000","2026-06-01T22:27:39.6971157",
93,"ST-073","Trạm sạc Hung Vuong Thua Thien Hue",14,110,14,25,"VinFast DC 150","VinFast",120.00,"Active","2024-02-19T00:00:00.0000000","2026-06-01T22:27:39.6971157",
94,"ST-042","Trạm sạc Ly Thai To Bac Ninh",13,27,15,22,"ABB Terra 184","ABB",150.00,"Active","2024-03-21T00:00:00.0000000","2026-06-01T22:27:39.6971157",
95,"ST-011","Trạm sạc Pham Van Thuan Dong Nai",3,42,6,19,"Siemens Sicharge","Siemens",150.00,"Active","2024-04-21T00:00:00.0000000","2026-06-01T22:27:39.6971157",
96,"ST-074","Trạm sạc Hung Vuong Thua Thien Hue",15,111,14,26,"Siemens Sicharge","Siemens",150.00,"Active","2024-02-18T00:00:00.0000000","2026-06-01T22:27:39.6971157",
97,"ST-043","Trạm sạc Ba Cu Ba Ria - Vung Tau",14,28,8,23,"VinFast DC 150","VinFast",120.00,"Active","2024-03-20T00:00:00.0000000","2026-06-01T22:27:39.6971157",
98,"ST-012","Trạm sạc Vo Thi Sau Dong Nai",1,43,6,20,"ABB Terra 184","ABB",300.00,"Active","2024-04-20T00:00:00.0000000","2026-06-01T22:27:39.6971157",
99,"ST-075","Trạm sạc Hung Vuong Thua Thien Hue",1,112,14,27,"ABB Terra 184","ABB",120.00,"Active","2024-02-17T00:00:00.0000000","2026-06-01T22:27:39.6971157",
100,"ST-044","Trạm sạc Ba Cu Ba Ria - Vung Tau",15,29,8,24,"Siemens Sicharge","Siemens",150.00,"Active","2024-03-19T00:00:00.0000000","2026-06-01T22:27:39.6971157",
