"VehicleID","UserID","PlateNumber","Brand","Model","BatteryCapacityKWh","PreferredConnectorTypeID","IsActive","CreatedAt"
"34","85","15E-10034","Hyundai","Ioniq 5","72.60","1","True","1/7/2024 1:00:00 AM"
"35","86","60E-10035","Kia","EV6","77.40","1","True","1/8/2024 1:00:00 AM"
"36","87","65E-10036","BYD","Atto 3","60.50","3","True","1/9/2024 1:00:00 AM"
"37","88","72E-10037","MG","MG4 Electric","64.00","3","True","1/10/2024 1:00:00 AM"
"38","89","79E-10038","Porsche","Taycan","93.40","1","True","1/11/2024 1:00:00 AM"
"39","90","29E-10039","Volvo","XC40 Recharge","78.00","1","True","1/12/2024 1:00:00 AM"
"40","91","51E-10040","VinFast","VF e34","42.00","1","True","1/13/2024 1:00:00 AM"
"41","92","30E-10041","VinFast","VF 8","82.00","1","True","1/14/2024 1:00:00 AM"
"42","93","43E-10042","VinFast","VF 9","92.00","1","True","1/15/2024 1:00:00 AM"
"43","94","61E-10043","Tesla","Model 3","75.00","1","True","1/16/2024 1:00:00 AM"
"44","95","15E-10044","Hyundai","Ioniq 5","72.60","1","True","1/17/2024 1:00:00 AM"
"45","96","60E-10045","Kia","EV6","77.40","3","True","1/18/2024 1:00:00 AM"
"46","97","65E-10046","BYD","Atto 3","60.50","3","True","1/19/2024 1:00:00 AM"
"47","98","72E-10047","MG","MG4 Electric","64.00","1","True","1/20/2024 1:00:00 AM"
"48","99","79E-10048","Porsche","Taycan","93.40","1","True","1/21/2024 1:00:00 AM"
"49","100","29E-10049","Volvo","XC40 Recharge","78.00","1","True","1/22/2024 1:00:00 AM"
"50","101","51E-10050","VinFast","VF e34","42.00","1","True","1/23/2024 1:00:00 AM"
"51","102","30E-10051","VinFast","VF 8","82.00","1","True","1/24/2024 1:00:00 AM"
"52","103","43E-10052","VinFast","VF 9","92.00","1","True","1/25/2024 1:00:00 AM"
"53","104","61E-10053","Tesla","Model 3","75.00","1","True","1/26/2024 1:00:00 AM"
"54","105","15E-10054","Hyundai","Ioniq 5","72.60","3","True","1/27/2024 1:00:00 AM"
"55","106","60E-10055","Kia","EV6","77.40","3","True","1/28/2024 1:00:00 AM"
"56","107","65E-10056","BYD","Atto 3","60.50","1","True","1/29/2024 1:00:00 AM"
"57","108","72E-10057","MG","MG4 Electric","64.00","1","True","1/30/2024 1:00:00 AM"
"58","109","79E-10058","Porsche","Taycan","93.40","1","True","1/31/2024 1:00:00 AM"
"59","110","29E-10059","Volvo","XC40 Recharge","78.00","1","True","2/1/2024 1:00:00 AM"
"60","111","51E-10060","VinFast","VF e34","42.00","1","True","2/2/2024 1:00:00 AM"
"61","112","30E-10061","VinFast","VF 8","82.00","1","True","2/3/2024 1:00:00 AM"
"62","113","43E-10062","VinFast","VF 9","92.00","1","True","2/4/2024 1:00:00 AM"
"63","114","61E-10063","Tesla","Model 3","75.00","3","True","2/5/2024 1:00:00 AM"
"64","115","15E-10064","Hyundai","Ioniq 5","72.60","3","True","2/6/2024 1:00:00 AM"
"65","116","60E-10065","Kia","EV6","77.40","1","True","2/7/2024 1:00:00 AM"
"66","117","65E-10066","BYD","Atto 3","60.50","1","True","2/8/2024 1:00:00 AM"
"67","118","72E-10067","MG","MG4 Electric","64.00","1","True","2/9/2024 1:00:00 AM"
"68","119","79E-10068","Porsche","Taycan","93.40","1","True","2/10/2024 1:00:00 AM"
"69","120","29E-10069","Volvo","XC40 Recharge","78.00","1","True","2/11/2024 1:00:00 AM"
"70","121","51E-10070","VinFast","VF e34","42.00","1","True","2/12/2024 1:00:00 AM"
"71","122","30E-10071","VinFast","VF 8","82.00","1","True","2/13/2024 1:00:00 AM"
"72","123","43E-10072","VinFast","VF 9","92.00","3","True","2/14/2024 1:00:00 AM"
"73","124","61E-10073","Tesla","Model 3","75.00","3","True","2/15/2024 1:00:00 AM"
"74","125","15E-10074","Hyundai","Ioniq 5","72.60","1","True","2/16/2024 1:00:00 AM"
"75","126","60E-10075","Kia","EV6","77.40","1","True","2/17/2024 1:00:00 AM"
"76","127","65E-10076","BYD","Atto 3","60.50","1","True","2/18/2024 1:00:00 AM"
"77","128","72E-10077","MG","MG4 Electric","64.00","1","True","2/19/2024 1:00:00 AM"
"78","129","79E-10078","Porsche","Taycan","93.40","1","True","2/20/2024 1:00:00 AM"
"79","130","29E-10079","Volvo","XC40 Recharge","78.00","1","True","2/21/2024 1:00:00 AM"
"80","131","51E-10080","VinFast","VF e34","42.00","1","True","2/22/2024 1:00:00 AM"
"81","132","30E-10081","VinFast","VF 8","82.00","3","True","2/23/2024 1:00:00 AM"
"82","133","43E-10082","VinFast","VF 9","92.00","3","True","2/24/2024 1:00:00 AM"
"83","134","61E-10083","Tesla","Model 3","75.00","1","True","2/25/2024 1:00:00 AM"
"84","135","15E-10084","Hyundai","Ioniq 5","72.60","1","True","2/26/2024 1:00:00 AM"
"85","136","60E-10085","Kia","EV6","77.40","1","True","2/27/2024 1:00:00 AM"
"86","137","65E-10086","BYD","Atto 3","60.50","1","True","2/28/2024 1:00:00 AM"
"87","138","72E-10087","MG","MG4 Electric","64.00","1","True","2/29/2024 1:00:00 AM"
"88","139","79E-10088","Porsche","Taycan","93.40","1","True","3/1/2024 1:00:00 AM"
"89","140","29E-10089","Volvo","XC40 Recharge","78.00","1","True","3/2/2024 1:00:00 AM"
"90","141","51E-10090","VinFast","VF e34","42.00","3","True","3/3/2024 1:00:00 AM"
"91","142","30E-10091","VinFast","VF 8","82.00","3","True","3/4/2024 1:00:00 AM"
"92","143","43E-10092","VinFast","VF 9","92.00","1","True","3/5/2024 1:00:00 AM"
"93","144","61E-10093","Tesla","Model 3","75.00","1","True","3/6/2024 1:00:00 AM"
"94","145","15E-10094","Hyundai","Ioniq 5","72.60","1","True","3/7/2024 1:00:00 AM"
"95","146","60E-10095","Kia","EV6","77.40","1","True","3/8/2024 1:00:00 AM"
"96","147","65E-10096","BYD","Atto 3","60.50","1","True","3/9/2024 1:00:00 AM"
"97","148","72E-10097","MG","MG4 Electric","64.00","1","True","3/10/2024 1:00:00 AM"
"98","149","79E-10098","Porsche","Taycan","93.40","1","True","3/11/2024 1:00:00 AM"
"99","150","29E-10099","Volvo","XC40 Recharge","78.00","3","True","3/12/2024 1:00:00 AM"
"100","151","51E-10100","VinFast","VF e34","42.00","3","True","3/13/2024 1:00:00 AM"
"101","152","30E-10101","VinFast","VF 8","82.00","1","True","3/14/2024 1:00:00 AM"
"102","153","43E-10102","VinFast","VF 9","92.00","1","True","3/15/2024 1:00:00 AM"
"103","154","61E-10103","Tesla","Model 3","75.00","1","True","3/16/2024 1:00:00 AM"
"104","155","15E-10104","Hyundai","Ioniq 5","72.60","1","True","3/17/2024 1:00:00 AM"
"105","156","60E-10105","Kia","EV6","77.40","1","True","3/18/2024 1:00:00 AM"
"106","157","65E-10106","BYD","Atto 3","60.50","1","True","3/19/2024 1:00:00 AM"
"107","158","72E-10107","MG","MG4 Electric","64.00","1","True","3/20/2024 1:00:00 AM"
"108","159","79E-10108","Porsche","Taycan","93.40","3","True","3/21/2024 1:00:00 AM"
"109","160","29E-10109","Volvo","XC40 Recharge","78.00","3","True","3/22/2024 1:00:00 AM"
"110","161","51E-10110","VinFast","VF e34","42.00","1","True","3/23/2024 1:00:00 AM"
"111","162","30E-10111","VinFast","VF 8","82.00","1","True","3/24/2024 1:00:00 AM"
"112","163","43E-10112","VinFast","VF 9","92.00","1","True","3/25/2024 1:00:00 AM"
"113","164","61E-10113","Tesla","Model 3","75.00","1","True","3/26/2024 1:00:00 AM"
"114","165","15E-10114","Hyundai","Ioniq 5","72.60","1","True","3/27/2024 1:00:00 AM"
"115","166","60E-10115","Kia","EV6","77.40","1","True","3/28/2024 1:00:00 AM"
"116","167","65E-10116","BYD","Atto 3","60.50","1","True","3/29/2024 1:00:00 AM"
"117","168","72E-10117","MG","MG4 Electric","64.00","3","True","3/30/2024 1:00:00 AM"
"118","169","79E-10118","Porsche","Taycan","93.40","3","True","3/31/2024 1:00:00 AM"
"119","170","29E-10119","Volvo","XC40 Recharge","78.00","1","True","4/1/2024 1:00:00 AM"
"120","171","51E-10120","VinFast","VF e34","42.00","1","True","4/2/2024 1:00:00 AM"
"121","172","30E-10121","VinFast","VF 8","82.00","1","True","4/3/2024 1:00:00 AM"
"122","173","43E-10122","VinFast","VF 9","92.00","1","True","4/4/2024 1:00:00 AM"
"123","174","61E-10123","Tesla","Model 3","75.00","1","True","4/5/2024 1:00:00 AM"
"124","175","15E-10124","Hyundai","Ioniq 5","72.60","1","True","4/6/2024 1:00:00 AM"
"125","176","60E-10125","Kia","EV6","77.40","1","True","4/7/2024 1:00:00 AM"
"126","177","65E-10126","BYD","Atto 3","60.50","3","True","4/8/2024 1:00:00 AM"
"127","178","72E-10127","MG","MG4 Electric","64.00","3","True","4/9/2024 1:00:00 AM"
"128","179","79E-10128","Porsche","Taycan","93.40","1","True","4/10/2024 1:00:00 AM"
"129","180","29E-10129","Volvo","XC40 Recharge","78.00","1","True","4/11/2024 1:00:00 AM"
"130","181","51E-10130","VinFast","VF e34","42.00","1","True","4/12/2024 1:00:00 AM"
"131","182","30E-10131","VinFast","VF 8","82.00","1","True","4/13/2024 1:00:00 AM"
"132","183","43E-10132","VinFast","VF 9","92.00","1","True","4/14/2024 1:00:00 AM"
"133","184","61E-10133","Tesla","Model 3","75.00","1","True","4/15/2024 1:00:00 AM"
"134","185","15E-10134","Hyundai","Ioniq 5","72.60","1","True","4/16/2024 1:00:00 AM"
"135","186","60E-10135","Kia","EV6","77.40","3","True","4/17/2024 1:00:00 AM"
"136","187","65E-10136","BYD","Atto 3","60.50","3","True","4/18/2024 1:00:00 AM"
"137","188","72E-10137","MG","MG4 Electric","64.00","1","True","4/19/2024 1:00:00 AM"
"138","189","79E-10138","Porsche","Taycan","93.40","1","True","4/20/2024 1:00:00 AM"
"139","190","29E-10139","Volvo","XC40 Recharge","78.00","1","True","4/21/2024 1:00:00 AM"
"140","191","51E-10140","VinFast","VF e34","42.00","1","True","4/22/2024 1:00:00 AM"
"141","192","30E-10141","VinFast","VF 8","82.00","1","True","4/23/2024 1:00:00 AM"
"142","193","43E-10142","VinFast","VF 9","92.00","1","True","4/24/2024 1:00:00 AM"
"143","194","61E-10143","Tesla","Model 3","75.00","1","True","4/25/2024 1:00:00 AM"
"144","195","15E-10144","Hyundai","Ioniq 5","72.60","3","True","4/26/2024 1:00:00 AM"
"145","196","60E-10145","Kia","EV6","77.40","3","True","4/27/2024 1:00:00 AM"
"146","197","65E-10146","BYD","Atto 3","60.50","1","True","4/28/2024 1:00:00 AM"
"147","198","72E-10147","MG","MG4 Electric","64.00","1","True","4/29/2024 1:00:00 AM"
"148","199","79E-10148","Porsche","Taycan","93.40","1","True","4/30/2024 1:00:00 AM"
"149","200","29E-10149","Volvo","XC40 Recharge","78.00","1","True","5/1/2024 1:00:00 AM"
"150","201","51E-10150","VinFast","VF e34","42.00","1","True","5/2/2024 1:00:00 AM"
"151","202","30E-10151","VinFast","VF 8","82.00","1","True","5/3/2024 1:00:00 AM"
"152","203","43E-10152","VinFast","VF 9","92.00","1","True","5/4/2024 1:00:00 AM"
"153","204","61E-10153","Tesla","Model 3","75.00","3","True","5/5/2024 1:00:00 AM"
"154","205","15E-10154","Hyundai","Ioniq 5","72.60","3","True","5/6/2024 1:00:00 AM"
"155","206","60E-10155","Kia","EV6","77.40","1","True","5/7/2024 1:00:00 AM"
"156","207","65E-10156","BYD","Atto 3","60.50","1","True","5/8/2024 1:00:00 AM"
"157","208","72E-10157","MG","MG4 Electric","64.00","1","True","5/9/2024 1:00:00 AM"
"158","209","79E-10158","Porsche","Taycan","93.40","1","True","5/10/2024 1:00:00 AM"
"159","210","29E-10159","Volvo","XC40 Recharge","78.00","1","True","5/11/2024 1:00:00 AM"
"160","211","51E-10160","VinFast","VF e34","42.00","1","True","5/12/2024 1:00:00 AM"
"161","212","30E-10161","VinFast","VF 8","82.00","1","True","5/13/2024 1:00:00 AM"
"162","213","43E-10162","VinFast","VF 9","92.00","3","True","5/14/2024 1:00:00 AM"
"163","214","61E-10163","Tesla","Model 3","75.00","3","True","5/15/2024 1:00:00 AM"
"164","215","15E-10164","Hyundai","Ioniq 5","72.60","1","True","5/16/2024 1:00:00 AM"
"165","216","60E-10165","Kia","EV6","77.40","1","True","5/17/2024 1:00:00 AM"
"166","217","65E-10166","BYD","Atto 3","60.50","1","True","5/18/2024 1:00:00 AM"
"167","218","72E-10167","MG","MG4 Electric","64.00","1","True","5/19/2024 1:00:00 AM"
"168","219","79E-10168","Porsche","Taycan","93.40","1","True","5/20/2024 1:00:00 AM"
"169","220","29E-10169","Volvo","XC40 Recharge","78.00","1","True","5/21/2024 1:00:00 AM"
"170","221","51E-10170","VinFast","VF e34","42.00","1","True","5/22/2024 1:00:00 AM"
"171","222","30E-10171","VinFast","VF 8","82.00","3","True","5/23/2024 1:00:00 AM"
"172","223","43E-10172","VinFast","VF 9","92.00","3","True","5/24/2024 1:00:00 AM"
"173","224","61E-10173","Tesla","Model 3","75.00","1","True","5/25/2024 1:00:00 AM"
"174","225","15E-10174","Hyundai","Ioniq 5","72.60","1","True","5/26/2024 1:00:00 AM"
"175","226","60E-10175","Kia","EV6","77.40","1","True","5/27/2024 1:00:00 AM"
"176","227","65E-10176","BYD","Atto 3","60.50","1","True","5/28/2024 1:00:00 AM"
"177","228","72E-10177","MG","MG4 Electric","64.00","1","True","5/29/2024 1:00:00 AM"
"178","229","79E-10178","Porsche","Taycan","93.40","1","True","5/30/2024 1:00:00 AM"
"179","230","29E-10179","Volvo","XC40 Recharge","78.00","1","True","5/31/2024 1:00:00 AM"
"180","231","51E-10180","VinFast","VF e34","42.00","3","True","12/4/2023 1:00:00 AM"
"181","232","30E-10181","VinFast","VF 8","82.00","3","True","12/5/2023 1:00:00 AM"
"182","233","43E-10182","VinFast","VF 9","92.00","1","True","12/6/2023 1:00:00 AM"
"183","234","61E-10183","Tesla","Model 3","75.00","1","True","12/7/2023 1:00:00 AM"
"184","235","15E-10184","Hyundai","Ioniq 5","72.60","1","True","12/8/2023 1:00:00 AM"
"185","236","60E-10185","Kia","EV6","77.40","1","True","12/9/2023 1:00:00 AM"
"186","237","65E-10186","BYD","Atto 3","60.50","1","True","12/10/2023 1:00:00 AM"
"187","238","72E-10187","MG","MG4 Electric","64.00","1","True","12/11/2023 1:00:00 AM"
"188","239","79E-10188","Porsche","Taycan","93.40","1","True","12/12/2023 1:00:00 AM"
"189","240","29E-10189","Volvo","XC40 Recharge","78.00","3","True","12/13/2023 1:00:00 AM"
"190","241","51E-10190","VinFast","VF e34","42.00","3","True","12/14/2023 1:00:00 AM"
"191","242","30E-10191","VinFast","VF 8","82.00","1","True","12/15/2023 1:00:00 AM"
"192","243","43E-10192","VinFast","VF 9","92.00","1","True","12/16/2023 1:00:00 AM"
"193","244","61E-10193","Tesla","Model 3","75.00","1","True","12/17/2023 1:00:00 AM"
"194","245","15E-10194","Hyundai","Ioniq 5","72.60","1","True","12/18/2023 1:00:00 AM"
"195","246","60E-10195","Kia","EV6","77.40","1","True","12/19/2023 1:00:00 AM"
"196","247","65E-10196","BYD","Atto 3","60.50","1","True","12/20/2023 1:00:00 AM"
"197","248","72E-10197","MG","MG4 Electric","64.00","1","True","12/21/2023 1:00:00 AM"
"198","249","79E-10198","Porsche","Taycan","93.40","3","True","12/22/2023 1:00:00 AM"
"199","250","29E-10199","Volvo","XC40 Recharge","78.00","3","True","12/23/2023 1:00:00 AM"
"200","251","51E-10200","VinFast","VF e34","42.00","1","True","12/24/2023 1:00:00 AM"
"201","252","30E-10201","VinFast","VF 8","82.00","1","True","12/25/2023 1:00:00 AM"
"202","253","43E-10202","VinFast","VF 9","92.00","1","True","12/26/2023 1:00:00 AM"
"203","254","61E-10203","Tesla","Model 3","75.00","1","True","12/27/2023 1:00:00 AM"
"204","255","15E-10204","Hyundai","Ioniq 5","72.60","1","True","12/28/2023 1:00:00 AM"
"205","256","60E-10205","Kia","EV6","77.40","1","True","12/29/2023 1:00:00 AM"
"206","257","65E-10206","BYD","Atto 3","60.50","1","True","12/30/2023 1:00:00 AM"
"207","258","72E-10207","MG","MG4 Electric","64.00","3","True","12/31/2023 1:00:00 AM"
"208","259","79E-10208","Porsche","Taycan","93.40","3","True","1/1/2024 1:00:00 AM"
"209","260","29E-10209","Volvo","XC40 Recharge","78.00","1","True","1/2/2024 1:00:00 AM"
"210","261","51E-10210","VinFast","VF e34","42.00","1","True","1/3/2024 1:00:00 AM"
"211","262","30E-10211","VinFast","VF 8","82.00","1","True","1/4/2024 1:00:00 AM"
"212","263","43E-10212","VinFast","VF 9","92.00","1","True","1/5/2024 1:00:00 AM"
"213","264","61E-10213","Tesla","Model 3","75.00","1","True","1/6/2024 1:00:00 AM"
"214","265","15E-10214","Hyundai","Ioniq 5","72.60","1","True","1/7/2024 1:00:00 AM"
"215","266","60E-10215","Kia","EV6","77.40","1","True","1/8/2024 1:00:00 AM"
"216","267","65E-10216","BYD","Atto 3","60.50","3","True","1/9/2024 1:00:00 AM"
"217","268","72E-10217","MG","MG4 Electric","64.00","3","True","1/10/2024 1:00:00 AM"
"218","269","79E-10218","Porsche","Taycan","93.40","1","True","1/11/2024 1:00:00 AM"
"219","270","29E-10219","Volvo","XC40 Recharge","78.00","1","True","1/12/2024 1:00:00 AM"
"220","271","51E-10220","VinFast","VF e34","42.00","1","True","1/13/2024 1:00:00 AM"
"221","272","30E-10221","VinFast","VF 8","82.00","1","True","1/14/2024 1:00:00 AM"
"222","273","43E-10222","VinFast","VF 9","92.00","1","True","1/15/2024 1:00:00 AM"
"223","274","61E-10223","Tesla","Model 3","75.00","1","True","1/16/2024 1:00:00 AM"
"224","275","15E-10224","Hyundai","Ioniq 5","72.60","1","True","1/17/2024 1:00:00 AM"
"225","276","60E-10225","Kia","EV6","77.40","3","True","1/18/2024 1:00:00 AM"
"226","277","65E-10226","BYD","Atto 3","60.50","3","True","1/19/2024 1:00:00 AM"
"227","278","72E-10227","MG","MG4 Electric","64.00","1","True","1/20/2024 1:00:00 AM"
"228","279","79E-10228","Porsche","Taycan","93.40","1","True","1/21/2024 1:00:00 AM"
"229","280","29E-10229","Volvo","XC40 Recharge","78.00","1","True","1/22/2024 1:00:00 AM"
"230","281","51E-10230","VinFast","VF e34","42.00","1","True","1/23/2024 1:00:00 AM"
"231","282","30E-10231","VinFast","VF 8","82.00","1","True","1/24/2024 1:00:00 AM"
"232","283","43E-10232","VinFast","VF 9","92.00","1","True","1/25/2024 1:00:00 AM"
"233","284","61E-10233","Tesla","Model 3","75.00","1","True","1/26/2024 1:00:00 AM"
"234","285","15E-10234","Hyundai","Ioniq 5","72.60","3","True","1/27/2024 1:00:00 AM"
"235","286","60E-10235","Kia","EV6","77.40","3","True","1/28/2024 1:00:00 AM"
"236","287","65E-10236","BYD","Atto 3","60.50","1","True","1/29/2024 1:00:00 AM"
"237","288","72E-10237","MG","MG4 Electric","64.00","1","True","1/30/2024 1:00:00 AM"
"238","289","79E-10238","Porsche","Taycan","93.40","1","True","1/31/2024 1:00:00 AM"
"239","290","29E-10239","Volvo","XC40 Recharge","78.00","1","True","2/1/2024 1:00:00 AM"
"240","291","51E-10240","VinFast","VF e34","42.00","1","True","2/2/2024 1:00:00 AM"
"241","292","30E-10241","VinFast","VF 8","82.00","1","True","2/3/2024 1:00:00 AM"
"242","293","43E-10242","VinFast","VF 9","92.00","1","True","2/4/2024 1:00:00 AM"
"243","294","61E-10243","Tesla","Model 3","75.00","3","True","2/5/2024 1:00:00 AM"
"244","295","15E-10244","Hyundai","Ioniq 5","72.60","3","True","2/6/2024 1:00:00 AM"
"245","296","60E-10245","Kia","EV6","77.40","1","True","2/7/2024 1:00:00 AM"
"246","297","65E-10246","BYD","Atto 3","60.50","1","True","2/8/2024 1:00:00 AM"
"247","298","72E-10247","MG","MG4 Electric","64.00","1","True","2/9/2024 1:00:00 AM"
"248","299","79E-10248","Porsche","Taycan","93.40","1","True","2/10/2024 1:00:00 AM"
"249","300","29E-10249","Volvo","XC40 Recharge","78.00","1","True","2/11/2024 1:00:00 AM"
"250","301","51E-10250","VinFast","VF e34","42.00","1","True","2/12/2024 1:00:00 AM"
"251","302","30E-10251","VinFast","VF 8","82.00","1","True","2/13/2024 1:00:00 AM"
"252","303","43E-10252","VinFast","VF 9","92.00","3","True","2/14/2024 1:00:00 AM"
"253","304","61E-10253","Tesla","Model 3","75.00","3","True","2/15/2024 1:00:00 AM"
"254","305","15E-10254","Hyundai","Ioniq 5","72.60","1","True","2/16/2024 1:00:00 AM"
"255","306","60E-10255","Kia","EV6","77.40","1","True","2/17/2024 1:00:00 AM"
"256","307","65E-10256","BYD","Atto 3","60.50","1","True","2/18/2024 1:00:00 AM"
"257","308","72E-10257","MG","MG4 Electric","64.00","1","True","2/19/2024 1:00:00 AM"
"258","309","79E-10258","Porsche","Taycan","93.40","1","True","2/20/2024 1:00:00 AM"
"259","310","29E-10259","Volvo","XC40 Recharge","78.00","1","True","2/21/2024 1:00:00 AM"
"260","311","51E-10260","VinFast","VF e34","42.00","1","True","2/22/2024 1:00:00 AM"
"261","312","30E-10261","VinFast","VF 8","82.00","3","True","2/23/2024 1:00:00 AM"
"262","313","43E-10262","VinFast","VF 9","92.00","3","True","2/24/2024 1:00:00 AM"
"263","314","61E-10263","Tesla","Model 3","75.00","1","True","2/25/2024 1:00:00 AM"
"264","315","15E-10264","Hyundai","Ioniq 5","72.60","1","True","2/26/2024 1:00:00 AM"
"265","316","60E-10265","Kia","EV6","77.40","1","True","2/27/2024 1:00:00 AM"
"266","317","65E-10266","BYD","Atto 3","60.50","1","True","2/28/2024 1:00:00 AM"
"267","318","72E-10267","MG","MG4 Electric","64.00","1","True","2/29/2024 1:00:00 AM"
"268","319","79E-10268","Porsche","Taycan","93.40","1","True","3/1/2024 1:00:00 AM"
"269","320","29E-10269","Volvo","XC40 Recharge","78.00","1","True","3/2/2024 1:00:00 AM"
"270","321","51E-10270","VinFast","VF e34","42.00","3","True","3/3/2024 1:00:00 AM"
"271","322","30E-10271","VinFast","VF 8","82.00","3","True","3/4/2024 1:00:00 AM"
"272","323","43E-10272","VinFast","VF 9","92.00","1","True","3/5/2024 1:00:00 AM"
"273","324","61E-10273","Tesla","Model 3","75.00","1","True","3/6/2024 1:00:00 AM"
"274","325","15E-10274","Hyundai","Ioniq 5","72.60","1","True","3/7/2024 1:00:00 AM"
"275","326","60E-10275","Kia","EV6","77.40","1","True","3/8/2024 1:00:00 AM"
"276","327","65E-10276","BYD","Atto 3","60.50","1","True","3/9/2024 1:00:00 AM"
"277","328","72E-10277","MG","MG4 Electric","64.00","1","True","3/10/2024 1:00:00 AM"
"278","329","79E-10278","Porsche","Taycan","93.40","1","True","3/11/2024 1:00:00 AM"
"279","330","29E-10279","Volvo","XC40 Recharge","78.00","3","True","3/12/2024 1:00:00 AM"
"280","331","51E-10280","VinFast","VF e34","42.00","3","True","3/13/2024 1:00:00 AM"
"281","332","30E-10281","VinFast","VF 8","82.00","1","True","3/14/2024 1:00:00 AM"
"282","333","43E-10282","VinFast","VF 9","92.00","1","True","3/15/2024 1:00:00 AM"
"283","334","61E-10283","Tesla","Model 3","75.00","1","True","3/16/2024 1:00:00 AM"
"284","335","15E-10284","Hyundai","Ioniq 5","72.60","1","True","3/17/2024 1:00:00 AM"
"285","336","60E-10285","Kia","EV6","77.40","1","True","3/18/2024 1:00:00 AM"
"286","337","65E-10286","BYD","Atto 3","60.50","1","True","3/19/2024 1:00:00 AM"
"287","338","72E-10287","MG","MG4 Electric","64.00","1","True","3/20/2024 1:00:00 AM"
"288","339","79E-10288","Porsche","Taycan","93.40","3","True","3/21/2024 1:00:00 AM"
"289","340","29E-10289","Volvo","XC40 Recharge","78.00","3","True","3/22/2024 1:00:00 AM"
"290","341","51E-10290","VinFast","VF e34","42.00","1","True","3/23/2024 1:00:00 AM"
"291","342","30E-10291","VinFast","VF 8","82.00","1","True","3/24/2024 1:00:00 AM"
"292","343","43E-10292","VinFast","VF 9","92.00","1","True","3/25/2024 1:00:00 AM"
"293","344","61E-10293","Tesla","Model 3","75.00","1","True","3/26/2024 1:00:00 AM"
"294","345","15E-10294","Hyundai","Ioniq 5","72.60","1","True","3/27/2024 1:00:00 AM"
"295","346","60E-10295","Kia","EV6","77.40","1","True","3/28/2024 1:00:00 AM"
"296","347","65E-10296","BYD","Atto 3","60.50","1","True","3/29/2024 1:00:00 AM"
"297","348","72E-10297","MG","MG4 Electric","64.00","3","True","3/30/2024 1:00:00 AM"
