"AddressID","RegionID","StreetAddress","Ward","District","Latitude","Longitude","FullAddress","CreatedAt"
"18","20","63 Tran Hung Dao","My Binh","Long Xuyen","10.3892000","105.4379000","63 Tran Hung Dao, My Binh, Long Xuyen","6/1/2026 10:27:39 PM"
"19","4","17 Dai lo Binh Duong","Phu Hoa","Thu Dau Mot","10.9765000","106.6597000","17 Dai lo Binh Duong, Phu Hoa, Thu Dau Mot","6/1/2026 10:27:39 PM"
"20","4","24 Huynh Van Luy","Phu My","Thu Dau Mot","11.0034000","106.6681000","24 Huynh Van Luy, Phu My, Thu Dau Mot","6/1/2026 10:27:39 PM"
"21","4","31 Dai lo Binh Duong","Phu Hoa","Thu Dau Mot","10.9783000","106.6615000","31 Dai lo Binh Duong, Phu Hoa, Thu Dau Mot","6/1/2026 10:27:39 PM"
"22","4","38 Huynh Van Luy","Phu My","Thu Dau Mot","11.0052000","106.6699000","38 Huynh Van Luy, Phu My, Thu Dau Mot","6/1/2026 10:27:39 PM"
"23","32","123 Hoang Van Thu","Tran Phu","Bac Giang","21.2740000","106.1955000","123 Hoang Van Thu, Tran Phu, Bac Giang","6/1/2026 10:27:39 PM"
"24","39","221 Truong Chinh","Duc Xuan","Bac Kan","22.1479000","105.8357000","221 Truong Chinh, Duc Xuan, Bac Kan","6/1/2026 10:27:39 PM"
"25","15","70 Ly Thai To","Vo Cuong","TP Bac Ninh","21.1858000","106.0772000","70 Ly Thai To, Vo Cuong, TP Bac Ninh","6/1/2026 10:27:39 PM"
"26","15","77 Ly Thai To","Vo Cuong","TP Bac Ninh","21.1867000","106.0781000","77 Ly Thai To, Vo Cuong, TP Bac Ninh","6/1/2026 10:27:39 PM"
"27","15","84 Ly Thai To","Vo Cuong","TP Bac Ninh","21.1876000","106.0790000","84 Ly Thai To, Vo Cuong, TP Bac Ninh","6/1/2026 10:27:39 PM"
"28","8","91 Ba Cu","Phuong 1","TP Vung Tau","10.3506000","107.0772000","91 Ba Cu, Phuong 1, TP Vung Tau","6/1/2026 10:27:39 PM"
"29","8","98 Ba Cu","Phuong 1","TP Vung Tau","10.3515000","107.0781000","98 Ba Cu, Phuong 1, TP Vung Tau","6/1/2026 10:27:39 PM"
"30","8","105 Ba Cu","Phuong 1","TP Vung Tau","10.3524000","107.0790000","105 Ba Cu, Phuong 1, TP Vung Tau","6/1/2026 10:27:39 PM"
"31","24","130 Ton Duc Thang","Phu Thuy","Phan Thiet","10.9347000","108.1031000","130 Ton Duc Thang, Phu Thuy, Phan Thiet","6/1/2026 10:27:39 PM"
"32","24","137 Ton Duc Thang","Phu Thuy","Phan Thiet","10.9356000","108.1040000","137 Ton Duc Thang, Phu Thuy, Phan Thiet","6/1/2026 10:27:39 PM"
"33","38","228 Kim Dong","Hop Giang","Cao Bang","22.6675000","106.2648000","228 Kim Dong, Hop Giang, Cao Bang","6/1/2026 10:27:39 PM"
"34","7","45 Hoa Binh","Ninh Kieu","Ninh Kieu","10.0351000","105.7851000","45 Hoa Binh, Ninh Kieu, Ninh Kieu","6/1/2026 10:27:39 PM"
"35","7","52 Nguyen Van Cu","An Khanh","Ninh Kieu","10.0309000","105.7592000","52 Nguyen Van Cu, An Khanh, Ninh Kieu","6/1/2026 10:27:39 PM"
"36","7","59 Hoa Binh","Ninh Kieu","Ninh Kieu","10.0369000","105.7869000","59 Hoa Binh, Ninh Kieu, Ninh Kieu","6/1/2026 10:27:39 PM"
"37","7","66 Nguyen Van Cu","An Khanh","Ninh Kieu","10.0327000","105.7610000","66 Nguyen Van Cu, An Khanh, Ninh Kieu","6/1/2026 10:27:39 PM"
"38","36","15 Vo Nguyen Giap","Muong Thanh","Dien Bien Phu","21.3875000","103.0169000","15 Vo Nguyen Giap, Muong Thanh, Dien Bien Phu","6/1/2026 10:27:39 PM"
"39","26","144 Nguyen Tat Thanh","Tan Loi","Buon Ma Thuot","12.6832000","108.0451000","144 Nguyen Tat Thanh, Tan Loi, Buon Ma Thuot","6/1/2026 10:27:39 PM"
"40","6","73 Pham Van Thuan","Tan Mai","Bien Hoa","10.9563000","106.8447000","73 Pham Van Thuan, Tan Mai, Bien Hoa","6/1/2026 10:27:39 PM"
"41","6","80 Vo Thi Sau","Thong Nhat","Bien Hoa","10.9500000","106.8261000","80 Vo Thi Sau, Thong Nhat, Bien Hoa","6/1/2026 10:27:39 PM"
"42","6","87 Pham Van Thuan","Tan Mai","Bien Hoa","10.9581000","106.8465000","87 Pham Van Thuan, Tan Mai, Bien Hoa","6/1/2026 10:27:39 PM"
"43","6","94 Vo Thi Sau","Thong Nhat","Bien Hoa","10.9518000","106.8279000","94 Vo Thi Sau, Thong Nhat, Bien Hoa","6/1/2026 10:27:39 PM"
"44","3","101 Dien Bien Phu","Chinh Gian","Thanh Khe","16.0683000","108.2042000","101 Dien Bien Phu, Chinh Gian, Thanh Khe","6/1/2026 10:27:39 PM"
"45","3","108 Nguyen Van Linh","Nam Duong","Hai Chau","16.0627000","108.2229000","108 Nguyen Van Linh, Nam Duong, Hai Chau","6/1/2026 10:27:39 PM"
"46","3","115 Vo Nguyen Giap","Phuoc My","Son Tra","16.0705000","108.2486000","115 Vo Nguyen Giap, Phuoc My, Son Tra","6/1/2026 10:27:39 PM"
"47","3","122 Dien Bien Phu","Chinh Gian","Thanh Khe","16.0710000","108.2069000","122 Dien Bien Phu, Chinh Gian, Thanh Khe","6/1/2026 10:27:39 PM"
"48","3","129 Nguyen Van Linh","Nam Duong","Hai Chau","16.0654000","108.2256000","129 Nguyen Van Linh, Nam Duong, Hai Chau","6/1/2026 10:27:39 PM"
"49","25","151 Hung Vuong","Tay Son","Pleiku","13.9727000","108.0160000","151 Hung Vuong, Tay Son, Pleiku","6/1/2026 10:27:39 PM"
"50","25","158 Hung Vuong","Tay Son","Pleiku","13.9736000","108.0169000","158 Hung Vuong, Tay Son, Pleiku","6/1/2026 10:27:39 PM"
"51","1","136 Cong Hoa","Phuong 12","Tan Binh","10.8028000","106.6537000","136 Cong Hoa, Phuong 12, Tan Binh","6/1/2026 10:27:39 PM"
"52","1","143 Dien Bien Phu","Phuong 15","Binh Thanh","10.8033000","106.7119000","143 Dien Bien Phu, Phuong 15, Binh Thanh","6/1/2026 10:27:39 PM"
"53","1","150 Nguyen Hue","Ben Nghe","Quan 1","10.7784000","106.7050000","150 Nguyen Hue, Ben Nghe, Quan 1","6/1/2026 10:27:39 PM"
"54","1","157 Nguyen Van Linh","Tan Phong","Quan 7","10.7344000","106.7086000","157 Nguyen Van Linh, Tan Phong, Quan 7","6/1/2026 10:27:39 PM"
"55","1","164 Vo Van Kiet","Co Giang","Quan 1","10.7642000","106.6991000","164 Vo Van Kiet, Co Giang, Quan 1","6/1/2026 10:27:39 PM"
"56","1","171 Cong Hoa","Phuong 12","Tan Binh","10.8073000","106.6582000","171 Cong Hoa, Phuong 12, Tan Binh","6/1/2026 10:27:39 PM"
"57","1","178 Dien Bien Phu","Phuong 15","Binh Thanh","10.8078000","106.7164000","178 Dien Bien Phu, Phuong 15, Binh Thanh","6/1/2026 10:27:39 PM"
"58","1","185 Nguyen Hue","Ben Nghe","Quan 1","10.7829000","106.7095000","185 Nguyen Hue, Ben Nghe, Quan 1","6/1/2026 10:27:39 PM"
"59","16","112 Nguyen Luong Bang","Thanh Binh","TP Hai Duong","20.9418000","106.3339000","112 Nguyen Luong Bang, Thanh Binh, TP Hai Duong","6/1/2026 10:27:39 PM"
"60","16","119 Nguyen Luong Bang","Thanh Binh","TP Hai Duong","20.9427000","106.3348000","119 Nguyen Luong Bang, Thanh Binh, TP Hai Duong","6/1/2026 10:27:39 PM"
"61","16","126 Nguyen Luong Bang","Thanh Binh","TP Hai Duong","20.9436000","106.3357000","126 Nguyen Luong Bang, Thanh Binh, TP Hai Duong","6/1/2026 10:27:39 PM"
"62","34","22 Nguyen Trai","Minh Khai","Ha Giang","22.8242000","104.9845000","22 Nguyen Trai, Minh Khai, Ha Giang","6/1/2026 10:27:39 PM"
"63","2","192 Ly Thuong Kiet","Tran Hung Dao","Hoan Kiem","21.0267000","105.8505000","192 Ly Thuong Kiet, Tran Hung Dao, Hoan Kiem","6/1/2026 10:27:39 PM"
"64","2","199 Nguyen Trai","Thanh Xuan Trung","Thanh Xuan","20.9945000","105.8103000","199 Nguyen Trai, Thanh Xuan Trung, Thanh Xuan","6/1/2026 10:27:39 PM"
"65","2","206 Pham Van Dong","Mai Dich","Cau Giay","21.0480000","105.7843000","206 Pham Van Dong, Mai Dich, Cau Giay","6/1/2026 10:27:39 PM"
"66","2","213 Tran Duy Hung","Trung Hoa","Cau Giay","21.0115000","105.7983000","213 Tran Duy Hung, Trung Hoa, Cau Giay","6/1/2026 10:27:39 PM"
"67","2","220 Vo Chi Cong","Xuan La","Tay Ho","21.0750000","105.8149000","220 Vo Chi Cong, Xuan La, Tay Ho","6/1/2026 10:27:39 PM"
"68","2","227 Ly Thuong Kiet","Tran Hung Dao","Hoan Kiem","21.0312000","105.8550000","227 Ly Thuong Kiet, Tran Hung Dao, Hoan Kiem","6/1/2026 10:27:39 PM"
"69","2","14 Nguyen Trai","Thanh Xuan Trung","Thanh Xuan","20.9990000","105.8148000","14 Nguyen Trai, Thanh Xuan Trung, Thanh Xuan","6/1/2026 10:27:39 PM"
"70","28","165 Bien Hoa","Minh Khai","Phu Ly","20.5420000","105.9148000","165 Bien Hoa, Minh Khai, Phu Ly","6/1/2026 10:27:39 PM"
"71","5","21 Dien Bien Phu","Minh Khai","Hong Bang","20.8606000","106.6847000","21 Dien Bien Phu, Minh Khai, Hong Bang","6/1/2026 10:27:39 PM"
"72","5","28 Le Hong Phong","Dang Giang","Ngo Quyen","20.8459000","106.7083000","28 Le Hong Phong, Dang Giang, Ngo Quyen","6/1/2026 10:27:39 PM"
"73","5","35 Dien Bien Phu","Minh Khai","Hong Bang","20.8624000","106.6865000","35 Dien Bien Phu, Minh Khai, Hong Bang","6/1/2026 10:27:39 PM"
"74","5","42 Le Hong Phong","Dang Giang","Ngo Quyen","20.8477000","106.7101000","42 Le Hong Phong, Dang Giang, Ngo Quyen","6/1/2026 10:27:39 PM"
"75","21","133 Nguyen Trung Truc","Vinh Lac","Rach Gia","10.0145000","105.0818000","133 Nguyen Trung Truc, Vinh Lac, Rach Gia","6/1/2026 10:27:39 PM"
"76","21","140 Nguyen Trung Truc","Vinh Lac","Rach Gia","10.0154000","105.0827000","140 Nguyen Trung Truc, Vinh Lac, Rach Gia","6/1/2026 10:27:39 PM"
"77","21","147 Nguyen Trung Truc","Vinh Lac","Rach Gia","10.0163000","105.0836000","147 Nguyen Trung Truc, Vinh Lac, Rach Gia","6/1/2026 10:27:39 PM"
"78","9","154 Tran Phu","Loc Tho","Nha Trang","12.2397000","109.1976000","154 Tran Phu, Loc Tho, Nha Trang","6/1/2026 10:27:39 PM"
"79","9","161 Tran Phu","Loc Tho","Nha Trang","12.2406000","109.1985000","161 Tran Phu, Loc Tho, Nha Trang","6/1/2026 10:27:39 PM"
"80","9","168 Tran Phu","Loc Tho","Nha Trang","12.2415000","109.1994000","168 Tran Phu, Loc Tho, Nha Trang","6/1/2026 10:27:39 PM"
"81","40","29 Phan Dinh Phung","Quyet Thang","Kon Tum","14.3506000","108.0014000","29 Phan Dinh Phung, Quyet Thang, Kon Tum","6/1/2026 10:27:39 PM"
"82","17","175 Hung Vuong","Phuong 2","Tan An","10.5363000","106.4146000","175 Hung Vuong, Phuong 2, Tan An","6/1/2026 10:27:39 PM"
"83","17","182 Hung Vuong","Phuong 2","Tan An","10.5372000","106.4155000","182 Hung Vuong, Phuong 2, Tan An","6/1/2026 10:27:39 PM"
"84","17","189 Hung Vuong","Phuong 2","Tan An","10.5381000","106.4164000","189 Hung Vuong, Phuong 2, Tan An","6/1/2026 10:27:39 PM"
"85","37","36 Tran Phu","Tan Phong","Lai Chau","22.3973000","103.4591000","36 Tran Phu, Tan Phong, Lai Chau","6/1/2026 10:27:39 PM"
"86","33","43 Hoang Lien","Coc Leu","Lao Cai","22.4865000","103.9716000","43 Hoang Lien, Coc Leu, Lao Cai","6/1/2026 10:27:39 PM"
"87","11","196 Tran Hung Dao","Phuong 10","Da Lat","11.9413000","108.4592000","196 Tran Hung Dao, Phuong 10, Da Lat","6/1/2026 10:27:39 PM"
"88","11","203 Tran Hung Dao","Phuong 10","Da Lat","11.9422000","108.4601000","203 Tran Hung Dao, Phuong 10, Da Lat","6/1/2026 10:27:39 PM"
"89","11","210 Tran Hung Dao","Phuong 10","Da Lat","11.9431000","108.4610000","210 Tran Hung Dao, Phuong 10, Da Lat","6/1/2026 10:27:39 PM"
"90","12","217 Le Duan","Truong Thi","TP Vinh","18.6706000","105.6822000","217 Le Duan, Truong Thi, TP Vinh","6/1/2026 10:27:39 PM"
"91","12","224 Le Duan","Truong Thi","TP Vinh","18.6715000","105.6831000","224 Le Duan, Truong Thi, TP Vinh","6/1/2026 10:27:39 PM"
"92","12","11 Le Duan","Truong Thi","TP Vinh","18.6724000","105.6840000","11 Le Duan, Truong Thi, TP Vinh","6/1/2026 10:27:39 PM"
"93","29","172 Tran Hung Dao","Dong Thanh","Ninh Binh","20.2546000","105.9754000","172 Tran Hung Dao, Dong Thanh, Ninh Binh","6/1/2026 10:27:39 PM"
"94","31","179 Hung Vuong","Gia Cam","Viet Tri","21.3026000","105.4317000","179 Hung Vuong, Gia Cam, Viet Tri","6/1/2026 10:27:39 PM"
"95","10","18 Ha Long","Bai Chay","Ha Long","20.9540000","107.0516000","18 Ha Long, Bai Chay, Ha Long","6/1/2026 10:27:39 PM"
"96","10","25 Ha Long","Bai Chay","Ha Long","20.9549000","107.0525000","25 Ha Long, Bai Chay, Ha Long","6/1/2026 10:27:39 PM"
"97","10","32 Ha Long","Bai Chay","Ha Long","20.9558000","107.0534000","32 Ha Long, Bai Chay, Ha Long","6/1/2026 10:27:39 PM"
"98","22","186 Phan Chau Trinh","Minh An","Hoi An","15.8781000","108.3278000","186 Phan Chau Trinh, Minh An, Hoi An","6/1/2026 10:27:39 PM"
"99","22","193 Phan Chau Trinh","Minh An","Hoi An","15.8790000","108.3287000","193 Phan Chau Trinh, Minh An, Hoi An","6/1/2026 10:27:39 PM"
"100","23","200 Hung Vuong","Phuong 1","Dong Ha","16.8172000","107.1012000","200 Hung Vuong, Phuong 1, Dong Ha","6/1/2026 10:27:39 PM"
"101","35","50 To Hieu","Chieng Le","Son La","21.3279000","103.9150000","50 To Hieu, Chieng Le, Son La","6/1/2026 10:27:39 PM"
"102","30","207 Ly Bon","De Tham","Thai Binh","20.4472000","106.3375000","207 Ly Bon, De Tham, Thai Binh","6/1/2026 10:27:39 PM"
"103","18","39 Ap Bac","Phuong 5","My Tho","10.3693000","106.3570000","39 Ap Bac, Phuong 5, My Tho","6/1/2026 10:27:39 PM"
"104","18","46 Ap Bac","Phuong 5","My Tho","10.3702000","106.3579000","46 Ap Bac, Phuong 5, My Tho","6/1/2026 10:27:39 PM"
"105","18","53 Ap Bac","Phuong 5","My Tho","10.3711000","106.3588000","53 Ap Bac, Phuong 5, My Tho","6/1/2026 10:27:39 PM"
"106","13","60 Dai lo Le Loi","Dien Bien","TP Thanh Hoa","19.8076000","105.7773000","60 Dai lo Le Loi, Dien Bien, TP Thanh Hoa","6/1/2026 10:27:39 PM"
"107","13","67 Dai lo Le Loi","Dien Bien","TP Thanh Hoa","19.8085000","105.7782000","67 Dai lo Le Loi, Dien Bien, TP Thanh Hoa","6/1/2026 10:27:39 PM"
"108","13","74 Dai lo Le Loi","Dien Bien","TP Thanh Hoa","19.8094000","105.7791000","74 Dai lo Le Loi, Dien Bien, TP Thanh Hoa","6/1/2026 10:27:39 PM"
"109","27","214 30 Thang 4","Phuong 3","TP Tay Ninh","11.3109000","106.0992000","214 30 Thang 4, Phuong 3, TP Tay Ninh","6/1/2026 10:27:39 PM"
"110","14","81 Hung Vuong","Phu Hoi","TP Hue","16.4646000","107.5918000","81 Hung Vuong, Phu Hoi, TP Hue","6/1/2026 10:27:39 PM"
"111","14","88 Hung Vuong","Phu Hoi","TP Hue","16.4655000","107.5927000","88 Hung Vuong, Phu Hoi, TP Hue","6/1/2026 10:27:39 PM"
"112","14","95 Hung Vuong","Phu Hoi","TP Hue","16.4664000","107.5936000","95 Hung Vuong, Phu Hoi, TP Hue","6/1/2026 10:27:39 PM"
"113","19","102 Me Linh","Khai Quang","Vinh Yen","21.3098000","105.6058000","102 Me Linh, Khai Quang, Vinh Yen","6/1/2026 10:27:39 PM"
"114","19","109 Me Linh","Khai Quang","Vinh Yen","21.3107000","105.6067000","109 Me Linh, Khai Quang, Vinh Yen","6/1/2026 10:27:39 PM"
"115","19","116 Me Linh","Khai Quang","Vinh Yen","21.3116000","105.6076000","116 Me Linh, Khai Quang, Vinh Yen","6/1/2026 10:27:39 PM"
